invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,year,month,day
1,WALM003,San Antonio,Health and beauty,$74.69,7.0,2019-05-01,13:08:00,Ewallet,9.1,0.48,2019,5,1
2,WALM048,Harlingen,Electronic accessories,$15.28,5.0,2019-08-03,10:29:00,Cash,9.6,0.48,2019,8,3
3,WALM067,Haltom City,Home and lifestyle,$46.33,7.0,2019-03-03,13:23:00,Credit card,7.4,0.33,2019,3,3
4,WALM064,Bedford,Health and beauty,$58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,2019,1,27
5,WALM013,Irving,Sports and travel,$86.31,7.0,2019-08-02,10:37:00,Ewallet,5.3,0.48,2019,8,2
6,WALM026,Denton,Electronic accessories,$85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,2019,3,25
7,WALM088,Cleburne,Electronic accessories,$68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,2019,2,25
8,WALM100,Canyon,Home and lifestyle,$73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,2019,2,24
9,WALM066,Grapevine,Health and beauty,$36.26,2.0,2019-10-01,17:15:00,Credit card,7.2,0.33,2019,10,1
10,WALM065,Texas City,Food and beverages,$54.84,3.0,2019-02-20,13:27:00,Credit card,5.9,0.33,2019,2,20
11,WALM013,Irving,Fashion accessories,$14.48,4.0,2019-06-02,18:07:00,Ewallet,4.5,0.48,2019,6,2
12,WALM035,San Angelo,Electronic accessories,$25.51,4.0,2019-09-03,17:03:00,Cash,6.8,0.48,2019,9,3
13,WALM027,Abilene,Electronic accessories,$46.95,5.0,2019-12-02,10:25:00,Ewallet,7.1,0.48,2019,12,2
14,WALM035,San Angelo,Food and beverages,$43.19,10.0,2019-07-02,16:48:00,Ewallet,8.2,0.48,2019,7,2
15,WALM031,Lewisville,Health and beauty,$71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,2019,3,29
16,WALM008,Corpus Christi,Sports and travel,$93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,2019,1,15
17,WALM029,Round Rock,Health and beauty,$68.93,7.0,2019-11-03,11:03:00,Credit card,4.6,0.48,2019,11,3
18,WALM061,Cedar Park,Sports and travel,$72.61,6.0,2019-01-01,10:39:00,Credit card,6.9,0.33,2019,1,1
19,WALM053,Conroe,Food and beverages,$54.67,3.0,2019-01-21,18:00:00,Credit card,8.6,0.57,2019,1,21
20,WALM013,Irving,Home and lifestyle,$40.3,2.0,2019-11-03,15:30:00,Ewallet,4.4,0.48,2019,11,3
21,WALM044,Pharr,Electronic accessories,$86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,2019,2,25
22,WALM088,Cleburne,Health and beauty,$87.98,3.0,2019-05-03,10:40:00,Ewallet,5.1,0.33,2019,5,3
23,WALM083,Farmers Branch,Home and lifestyle,$33.2,2.0,2019-03-15,12:20:00,Credit card,4.4,0.33,2019,3,15
24,WALM067,Haltom City,Electronic accessories,$34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,2019,2,17
25,WALM023,Midland,Sports and travel,$88.63,3.0,2019-02-03,17:36:00,Ewallet,6.0,0.48,2019,2,3
26,WALM001,Houston,Home and lifestyle,$52.59,8.0,2019-03-22,19:20:00,Credit card,8.5,0.36,2019,3,22
27,WALM072,Lancaster,Fashion accessories,$33.52,1.0,2019-08-02,15:31:00,Cash,6.7,0.33,2019,8,2
28,WALM046,Temple,Fashion accessories,$87.67,2.0,2019-10-03,12:17:00,Credit card,7.7,0.48,2019,10,3
29,WALM012,Garland,Food and beverages,$88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,2019,1,25
30,WALM075,San Marcos,Health and beauty,$24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,2019,3,15
31,WALM076,Huntsville,Fashion accessories,$94.13,5.0,2019-02-25,19:39:00,Credit card,4.8,0.33,2019,2,25
32,WALM098,Mineral Wells,Sports and travel,$78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,2019,1,28
33,WALM021,McAllen,Sports and travel,$83.78,8.0,2019-10-01,14:49:00,Cash,5.1,0.48,2019,10,1
